brand,milage,fuel_type,transmission,accident,clean_title,price,Age,price_category,Horsepower,Engine_Displacement,base_model
28,191775.0,1,1,1,1,9750.0,15,0,310.0,5.4,334
14,923.0,2,1,0,0,46998.0,1,1,332.2838386995936,0.0,203
36,124630.0,0,1,0,1,75000.0,7,2,188.0,3.0,395
4,73500.0,3,1,0,1,32000.0,6,1,320.0,3.0,55
3,73837.0,3,1,0,1,36340.0,5,1,332.2838386995936,3.0,23
54,13613.0,3,1,0,0,29798.0,3,1,332.2838386995936,2.0,495
27,1185.0,3,1,0,1,120990.0,1,2,409.0,3.4,318
20,143250.0,3,1,0,1,11500.0,9,0,328.0,3.7,258
4,46508.0,3,1,1,1,11500.0,18,0,215.0,3.0,91
4,36438.0,3,1,0,0,39998.0,5,1,332.2838386995936,3.0,85
24,46628.0,3,1,0,0,15363.0,10,0,332.2838386995936,2.4,299
4,57550.0,3,2,0,1,29995.0,9,1,240.0,2.0,91
14,119000.0,3,1,0,1,18000.0,4,0,169.0,2.5,208
27,121250.0,3,1,1,1,13250.0,14,0,204.0,2.5,314
4,2437.0,4,1,0,1,78350.0,1,2,375.0,3.0,89
55,110380.0,3,1,1,1,22000.0,6,1,316.0,2.0,523
19,149000.0,3,1,0,1,3850.0,16,0,173.0,2.7,250
11,14684.0,3,1,0,0,37995.0,3,1,332.2838386995936,3.6,165
36,39000.0,3,1,1,1,39000.0,7,1,362.0,3.0,368
15,65212.0,3,1,0,1,42995.0,5,1,332.2838386995936,5.3,219
53,54000.0,4,3,0,1,33000.0,5,1,219.0,2.5,486
26,38356.0,3,1,0,0,36598.0,4,1,332.2838386995936,2.0,308
1,21487.0,3,1,0,1,35345.0,4,1,332.2838386995936,2.0,12
8,99000.0,3,1,0,1,22999.0,17,1,403.0,6.2,119
14,35597.0,1,1,0,0,47756.0,5,1,332.2838386995936,6.2,195
39,130307.0,3,1,0,1,9950.0,19,0,287.0,3.5,405
50,178000.0,3,1,0,1,7600.0,14,0,170.0,2.5,466
32,1000.0,3,1,0,1,36000.0,8,1,404.0,3.0,345
22,29800.0,3,1,0,0,58900.0,2,2,332.2838386995936,5.7,288
32,49750.0,3,1,0,1,27995.0,7,1,404.0,3.0,345
28,140000.0,3,1,0,1,2000.0,19,0,302.0,4.6,323
14,66770.0,1,1,0,0,21500.0,6,1,169.0,2.5,208
8,61549.0,3,1,1,0,19998.0,8,0,332.2838386995936,3.6,121
28,38100.0,3,1,0,1,21000.0,8,1,365.0,3.5,328
36,41545.0,4,1,0,0,71998.0,2,2,332.2838386995936,3.0,385
36,47850.0,3,1,1,1,127899.0,5,2,416.0,4.0,377
19,128000.0,3,2,0,1,11000.0,10,0,201.0,1.6,251
